NUMBER,ACCREDITATION NUMBER,REGION,NAME OF FACILITY,ADDRESS (Street/Barangay),TOWN/CITY,CONTACT NO.,HOL NAME (Head Of Laboratory),EMAIL,LABORATORY EMAIL,O.R. Number,"INCORRECT
METH","INCORRECT
THC","INCORRECT 
TOTAL","RESULT: 
WITH OR WITHOUT CONCERN",RESULT: REMARKS,"REMARKS:
PASSED / FAILED",SCORE,CERTIFICATE NO. ,
1,01-XXXX-XX-XXXX-X,1,HI-PRECISION DIAGNOSTICS - DAGUPAN,"G/F 2-5 & 2ND FLOOR 2F-2C BHF FAMILY PLAZA, MAYOMBO DISTRICT, DAGUPAN CITY, PANGASINAN",DAGUPAN/PANGASINAN,0956-774-5551/ 0917-712-1401,BABY LYNNE C. ASUNCION,hpdagupan.lab@hi-precision.com.ph,hpdagupan.lab@hi-precision.com.ph,5364759,2,5,7,,,PASSED,Acceptable,SDTLPT-24-010015,A
1,01-0839-23-PIBS-R,1,HI-PRECISION DIAGNOSTICS - ILOCOS NORTE,"UNIT 3&4 VALDEZ BLDG.  VALDEZ CENTER. BRGY. 4 SAN FRANCISCO, SAN NICOLAS, ILOCOS NORTE",SAN NICOLAS/ILOCOS NORTE,0933-815-0540,MODESTY A. LEA•O,hpsannicolas.lab@hi-precision.com.ph,hpsannicolas.lab@hi-precision.com.ph,5364785,1,4,5,,,PASSED,Highly Satisfactory,SDTLPT-24-010016,HS
1,01-0085-23-PFSS-R,1,HI-PRECISION DIAGNOSTICS PLUS - URDANETA,"3F,SM CITY URDANETA CENTRAL  URDANETA CITY PANGASINAN",URDANETA/PANGASINAN,0917-114-6005/ 0998-956-8039,BABY LYNNE C. ASUNCION,hpurdaneta.lab@hi-precision.com.ph,hpurdaneta.lab@hi-precision.com.ph,5364448,0,4,4,,,PASSED,Highly Satisfactory,SDTLPT-24-010017,HS
1,01-1915-23-PFSS-I,1,ILOCOS BIORAD MEDICAL AND DIAGNOSTIC CENTER,"BRGY. 16, GEN. LUNA ST., COR. A. CASTRO AVE.",LAOAG CITY / ILOCOS NORTE,9215845070,"LAE•O, MODESTY A.",bioradlaoag@yahoo.com,bioradlaoag@yahoo.com,5347722,2,2,4,,,PASSED,Highly Satisfactory,SDTLPT-24-010018,HS
1,01-XXXX-XX-XXXX-X,1,ILOCOS TRAINING AND REGIONAL MEDICAL CENTER,"PARIAN (NEAR DOH-CHDI), CITY OF SAN FERNANDO, LA UNION",CITY OF SAN FERNANDO / LA UNION,9178954092,"COUSAO, DENNIS R.",itrmc.dtl@gmail.com,itrmc.dtl@gmail.com,5352985,0,1,1,,,PASSED,Excellent,SDTLPT-24-010019,E
1,01-0791-24-PIBS-R,1,JEDA LABORATORY AND DIAGNOSTIC CENTER,"POBLACION NORTE (BESIDE CALTEX), STA. MARIA, ILOCOS SUR",STA MARIA/ILOCOS SUR,0977-486-3363/ 0977-821-4700,GAIL DOMECQ C. TANAWIT,norejendagdag74@gmail.com,norejendagdag74@gmail.com,5373184,4,3,7,,,PASSED,Acceptable,SDTLPT-24-010020,A
1,01-1173-24-GIBS-R,1,LAOAG CITY GENERAL HOSPITAL DRUG TESTING LABORATORY,"AIRPORT ROAD, BGY. NO. 46, NALBO, LAOAG CITY (CAPITAL), ILOCOS NORTE",LAOAG/ILOCOS NORTE,0977-214-4600/ 0917-772-0391,ARLENE GENCIANA F. CASTRO,lcghlab2011@yahoo.com.ph,lcghlab2011@yahoo.com.ph,5410068,0,2,2,,,PASSED,Excellent,SDTLPT-24-010021,E
1,01-1177-24-PFSS-R,1,LAOAG POLYCLINIC CLINICAL LABORATORY & DRUG TESTING CENTER,GEN. GIRON ST 7-A LAOAG CITY ILOCOS NORTE,LAOAG/ILOCOS NORTE,0917-568-3750,PROCESA R. GAMILDE,laoagpolyclinic@gmail.com,laoagpolyclinic@gmail.com,5406193,2,1,3,,,PASSED,Highly Satisfactory,SDTLPT-24-010022,HS
1,01-1443-23-PIBS-R,1,LORMA LIFECHECK CLINIC,"JTC MALL CENTRAL  BRGY. DEL PILAR,TAGUDIN, ILOCOS SUR",TAGUDIN/ILOCOS SUR,0917-869-5641/ 0918-919-8239,JERILYN L. DULAY,lifechecklabtagudin@gmail.com,lifechecklabtagudin@gmail.com,5371568,2,3,5,,,PASSED,Highly Satisfactory,SDTLPT-24-010023,HS
1,01-1736-24-PFSS-R,1,MAEZELLE PSYCHO METIER AND DIAGNOSTIC CENTER,"2/F OFELIA BUILDING, QUEZON CITY AVENUE, BRGY. SEVILLA, CITY OF SAN FERNANDO, LA UNION",SAN FERNANDO/LA UNION,0956-322-0984/ 0966-366-1675,DENNIS R. COLISAO,mpmdc.lu@gmail.com,mpmdc.lu@gmail.com,5404262,2,3,5,,,PASSED,Highly Satisfactory,SDTLPT-24-010024,HS
1,01-XXXX-XX-XXXX-X,1,MARIANO MARCOS MEMORIAL HOSPITAL & MEDICAL CENTER,"GROUND FLOOR, LABORATORY BUILDING, MMMHMC, SAN JULIAN CITY OF BATAC, ILOCOS NORTE",ILOCOS NORTE,0917-830-0440,MODESTY A. LEA•O,mmmh.lab13@gmail.com,mmmh.lab13@gmail.com,5413211,0,4,4,,,PASSED,Highly Satisfactory,SDTLPT-24-010025,HS
1,01-0817-24-PIBS-R,1,"MEDISENSE LABORATORY CENTER, INC. - SAN FERNANDO, LA UNION","2ND FLOOR, PARAMMATA REALTY AND DEV'T CORP BUILDING, DIVERSION ROAD, BRGY. BIDAY, SAN FERNANDO, LA UNION",SAN FERNANDO/LA UNION,0920-519-6908/ 0925-365-3213,IKE MANUEL GABAO FLORES,msllab.lu@gmail.com,msllab.lu@gmail.com,5404257,2,3,5,,,PASSED,Highly Satisfactory,SDTLPT-24-010026,HS
1,01-0793-24-PIBS-R,1,"MEDISENSE LABORATORY CENTER, INC. - DAGUPAN CITY","GROUND FLOOR, PRINCESS CHARISE BUILDING, AB FERNANDEZ WEST AVENUE, BRGY. POBLACION OESTE, DAGUPAN CITY",DAGUPAN/PANGASINAN,0915-946-2094/ 0925-365-3213,IKE MANUEL G. FLORES,mslpangasinan.lab@gmail.com,mslpangasinan.lab@gmail.com,5404254,3,0,3,,,PASSED,Highly Satisfactory,SDTLPT-24-010027,HS
1,01-XXXX-XX-XXXX-X,1,METRO VIGAN HOSPITAL,RIZAL STREET BARANGAY IV (POBLACION) BANTAY ILOCOS SUR,BANTAY/ILOCOS SUR,0917-812-4609,BRENDA I ROSUMAN,mvmchlab2014@yahoo.com,mvmchlab2014@yahoo.com,5406196,1,5,6,,,PASSED,Acceptable,SDTLPT-24-010028,A
1,01-0819-24-PFSS-R,1,MT. HERMON DIAGNOSTIC CENTER,"VALLEYVIEW, TAGUNDIN, MABINI, PANGASINAN",MABINI CITY/PANGASINAN,0929-490-4628,SHELDON STEVEN C. AQUINO,mt.hernon_001@yahoo.com,mt.hernon_001@yahoo.com,5413846,0,3,3,,,PASSED,Highly Satisfactory,SDTLPT-24-010029,HS
1,01-1354-22-PIBS-R,1,"NEUSTRO SE•OR SANTO NI•O HOSPITAL, INC.","JUAN LUNA STREET, POBLACION SUR, BAYAMBANG, PANGASINAN",BAYAMBANG/PANGASINAN,0915-658-0176/ 0917-816-3813,BU  C. CASTRO,nsshibayambang@gmail.com,nsshibayambang@gmail.com,5374779,2,1,3,,,PASSED,Highly Satisfactory,SDTLPT-24-010030,HS
1,01-0799-24-PIBS-R,1,NEW ROSARIO DIAGNOSTIC CLINIC AND LABORATORY,"2/F DONA PEPANG'S BLDG., POBLACION EAST, ROSARIO, LA UNION",ROSARIO/LA UNION,0910-460-9941,VIRGINIA V. DE JOYA,newosariodiagnostic@yahoo.com,newosariodiagnostic@yahoo.com,5418079,3,4,7,,,PASSED,Acceptable,SDTLPT-24-010031,A
1,01-1182-24-PFSS-R,1,NEW WORLD DIAGNOSTICS INC-LINGAYEN,"COLUMBIAN PLAZA, AVENIDA RIZAL WEST, POBLACION, LINGAYEN, PANGASINAN",LINGAYEN/PANGASINAN,0991-391-3948,PAULO GIOVANNI L. MENDOZA,kristel.dionisio@nwdi.com.ph,kristel.dionisio@nwdi.com.ph,5394157,2,4,6,,,PASSED,Acceptable,SDTLPT-24-010032,A
1,01-1180-24-PIBS-R,1,"NEW WORLD DIAGNOSTICS, INC.-DAGUPAN","45 BURGOS ST., BRGY. POBLACION OESTE, DAGUPAN CITY, PANGASINAN",DAGUPAN CITY / PANGASINAN,0991-391-3948,"MENDOZA, PAULO GIOVANNI L.",kristel.dionisio@nwdi.com.ph,kristel.dionisio@nwdi.com.ph,5392173,2,3,5,,,PASSED,Highly Satisfactory,SDTLPT-24-010033,HS
1,01-0822-24-PIBS-R,1,NORTHWESTERN UNIVERISTY INC.,"AIRPORT AVENUE, BRGY.46, NALBO, LAOAG CITY, ILOCOS NORTE",LAOAG/ILOCOS NORTE,0939-571-2773/ 0917-772-0391,ARLENE F. CASTRO,nwu_laoagcity@yahoo.com,nwu_laoagcity@yahoo.com,5406190,1,3,4,,,PASSED,Highly Satisfactory,SDTLPT-24-010034,HS
1,01-1664-23-PIBS-R,1,PRIME ASSAY MEDICAL AND DIAGNOSTIC CLINIC,2ND FLOOR ES BLDG AMBROSIO ST POBLACION URDANETA CITY PANGASINAN,URDANETA CITY / PANGASINAN,0975-395-2963/ 0920-948-24-25,"GALVAN, GIL BRYAN B.",primeassaymedical@yahoo.com,primeassaymedical@yahoo.com,5324201,0,5,5,,,PASSED,Highly Satisfactory,SDTLPT-24-010035,HS
1,01-1043-23-PFSS-R,1,QUEEN CHECK DRUG TESTING LABORATORY,"NEW PUBLIC MARKET, 2ND FLOOR, ROXAS BLVD., SAN CARLOS CITY, PANGASINAN","SAN CARLOS CITY, PANGASINAN",0909-181-7146,MARK VINCENT R. MERCADO,merqs8@yahoo.com,merqs8@yahoo.com,5418137,2,1,3,,,PASSED,Highly Satisfactory,SDTLPT-24-010036,HS
1,01-0858-23-GIBS-R,1,REGION 1 MEDICAL CENTER DRUG TESTING LABORATORY,"ARELLANO STREET, PANTAL DISTRICT,DAGUPAN CITY, PANGASINAN",DAGUPAN CITY / PANGASINAN,0966-163-9749/ 0917-169-2798,"AQUINO, SHELDON STEVEN C.",dtl_r1mc@yahoo.com,dtl_r1mc@yahoo.com,5329738,2,2,4,,,PASSED,Highly Satisfactory,SDTLPT-24-010037,HS
1,01-1185-24-PFSS-R,1,RJV DRUG TESTING LABORATORY,"STALL NO. 248, 2ND FLOOR, BANTAY ARCADE, BANTAY, ILOCOS SUR",BANTAY/ILOCOS SUR,0917-568-0563,JOSEPH  D. ADAYA,jgandres_rmt@yahoo.com,jgandres_rmt@yahoo.com,5383106,4,3,7,,,PASSED,Acceptable,SDTLPT-24-010038,A
1,01-XXXX-XX-XXXX-X,1,ROYAL STAR DRUG TESTING LABORATORY,"#100 AB FERNANDEZ WEST, POBLACION OESTE, DAGUPAN CITY, PANGASINAN CITY",DAGUPAN CITY / DAGUPAN,0992-377-6388/ 075-600-8811,"JACINTO, REYNALDO A.",bingdoctolero@gmail.com,bingdoctolero@gmail.com,5324927,4,1,5,,,PASSED,Highly Satisfactory,SDTLPT-24-010039,HS
1,01-0338-23-PIBS-R,1,"SINGAPORE MEDICAL LABORATORIES, INC.","UNIT 207, ARB CORPORATE CENTER, DAGUPAN CITY, PANGASINAN",DAGUPAN CITY / PANGASINAN,0917-708-8723,"GALUT, THERESA GAIL R.",corelabdagupan@singaporediagnostics.com,corelabdagupan@singaporediagnostics.com,5326525,1,5,6,,,PASSED,Acceptable,SDTLPT-24-010040,A
1,01-1188-24-PIBS-R,1,TAGUDIN MEDICAL DIAGNOSTIC CENTER ,"TAGUDIN MEDICAL DIAGNOSTIC CENTER, BRGY. LAS- UD, NATIONAL HIGHWAY, TAGUDIN, ILOCOS SUR",TAGUDIN/ILOCOS SUR,0936-230-6713,GERALDINE  M. AGPES,asaptmdc2009@gmail.com,asaptmdc2009@gmail.com,5398871,3,2,5,,,PASSED,Highly Satisfactory,SDTLPT-24-010041,HS
1,01-XXXX-XX-XXXX-X,1,THE BLACK NAZARENE HOSPITAL INC.,"BONOAN ST. BRGY Z SAN BALTAZAR, SAN NICOLAS",SAN NICOLAS CITY / ILOCOS NORTE,09238500351/773-1757/09177720391,"CASTRO, ARLENE GENCIANA F.",tbnhi.lab@gmail.com,tbnhi.lab@gmail.com,5329528,3,3,6,,,PASSED,Acceptable,SDTLPT-24-010042,A
1,01-1045-24-PFSS-R,1,THREE RJAM DRUG TESTING LABORATORY,"POBLACION OESTE DAGUPAN CITY, PANGASINAN",DAGUPAN/PANGASINAN,0912-789-3023/0912-789-3023,MARK VINCENT R. MERCADO,towealbarida1971@gmail.com,towealbarida1971@gmail.com,5418135,3,1,4,,,PASSED,Highly Satisfactory,SDTLPT-24-010043,HS
1,01-XXXX-XX-XXXX-X,1,TLC DRUG TESTING CENTER,"2/F VICTORIA BUILDING, MC ARTHUR HIGHWAY, CARMEN WEST, ROSALES PANGASINAN",ROSALES / PANGASINAN,09209482425 / 09558362095,"GALVAN, GIL BRYAN B.",tlcdrugtest@gmail.com,tlcdrugtest@gmail.com,5329531,2,4,6,,,PASSED,Acceptable,SDTLPT-24-010044,A
1,01-1920-23-PIBS-R,1,VIRGEN MILAGROSA MEDICAL CENTER DRUG TESTING LABORATORY ,"MARTIN P. POSADAS AE., SAN CARLOS CITY PANGASINAN ",SAN CARLOS CITY / PANGASINAN,0946-498-5524/ 0920-903-7732,"AQUINO, SHELDON STEVEN C.",vmmc1957@gmail.com,vmmc1957@gmail.com,5329522,3,1,4,,,PASSED,Highly Satisfactory,SDTLPT-24-010045,HS
2,02-0825-24-PFSS-R,2,AMAZING GRACE MEDICAL AND DIAGNOSTIC SERVICES,"MAHARLIKA HIGHWAY, CALAMAGUI 2ND, CITY OF ILAGAN, ISABELA",CITY OF ILAGAN / ISABELA,9157812961,"VILLANUEVA, ALMA A.",julietgumarang@gmal.com,julietgumarang@gmal.com,5362349,0,2,2,,,PASSED,Excellent,SDTLPT-24-020046,E
2,02-1863-24-PFSS-I,2,AP-GRADE MEDICAL AND DIAGNOSTIC LABORATORY,"2ND FLOOR, BLUE BLDG. C., PUBLIC MARKET, MALLIG, ISABELA",MALLIG/ISABELA,0918-909-2747/0906-243-4010,MILA AMOR V. REYES,grace.valdez2818@gmail.com,grace.valdez2818@gmail.com,5417429,1,0,1,,,PASSED,Excellent,SDTLPT-24-020047,E
2,02-0750-24-GIBS-R,2,BATANES GENERAL HOSPITAL,"NATIONAL ROAD, BARANGAY KAYHUVOKAN, BASCO, BATANES",BASCO/BATANES,0939-919-3620/ 0918-920-6883,GODWIN NAIG HERNAEZ,bghlaboratory@gmail.com,bghlaboratory@gmail.com,5399646,0,1,1,,,PASSED,Excellent,SDTLPT-24-020048,E
2,02-726-22-GFSS-R,2,CABARROGUIS HEALTH OFFICE LABORATORY,"MUNICIPAL HALL, ZAMORA, CABARROGUIS,QUIRINO",CABARROGUIS / QUIRINO,0917-109-6114,"CAMELLO, ELIZABETH A.",camello.e@yahoo.com,camello.e@yahoo.com,5332604,2,4,6,,,PASSED,Acceptable,SDTLPT-24-020049,A
2,02-0890-23-GIBS-R,2,CAGAYAN VALLEY MEDICAL CENTER DRUG TESTING LABORATORY,"DALAN NA PAGAYAYA, REGIONAL GOVERNMENT CENTER, CARIG SUR, TUGUEGARAO CITY, CAGAYAN",TUGUEGARAO CITY / CAGAYAN,9175781733,"BALISI, SARA JANE U.",cvmcdrugtest@yahoo.com,cvmcdrugtest@yahoo.com,5360139,1,1,2,,,PASSED,Excellent,SDTLPT-24-020050,E
2,02-1214-24-GIBS-R,2,CAMP MELCHOR F DELA CRUZ STATION HOSPITAL,"UPI, GAMU 510 PHIL ARMY, ISABELA",ISABELA,9175579714,"REYES, MILA AMOR V.",cmfdcshlab@gmail.com,cmfdcshlab@gmail.com,5360130,2,0,2,,,PASSED,Excellent,SDTLPT-24-020051,E
2,02-0894-23-PIBS-R,2,CLI DIAGNOSTIC LABORATORY,"MAHARLIKA HIGHWAY (ST.PATRICK GARDEN HOTEL), APARRI, CAGAYAN",APARRI / CAGAYAN,9452858573,"REYES, MILA AMOR V.",clidiagnosticlaboratory@gmail.com,clidiagnosticlaboratory@gmail.com,5346394,4,1,5,,,PASSED,Highly Satisfactory,SDTLPT-24-020052,HS
2,02-1363-21-PFSS-R,2,DIAGNOSTIKA CLINICAL LABORATORY ,"#76 MARIBBAY BUILDING QUEZON ST, DISTRICT I (POB.), CITY OF CAUAYAN, ISABELA 3305",CITY OF CAUAYAN / ISABELA,078-6520693/ 09174601296,"REYES, MILA AMOR V.",diagnostikalaboratory@yahoo.com,diagnostikalaboratory@yahoo.com,5318495,4,3,7,,,PASSED,Acceptable,SDTLPT-24-020053,A
2,02-1757-24-GIBS-R,2,DIFFUN MUNICIPAL HEALTH OFFICE CLINICAL LABORATORY,"#6 DONA AURORA-BESIDE MUNICIPAL BUREAU OF FIRE, DIFFUN, QUIRINO",DIFFUN/QUIRINO,0997-670-3516,DIWATA GRACE F. BAUSA,maysibayan@yahoo.com,maysibayan@yahoo.com,5396516,4,1,5,,,PASSED,Highly Satisfactory,SDTLPT-24-020054,HS
2,02-0828-24-PIBS-R,2,DR. MENDOZA MULTI-SPECIALTY CLINIC,"JRC BLDG. MAGSAYSAY ST., MINANGA APARRI, APARRI, CAGAYAN VALLEY",APARRI/CAGAYAN,0997-856-9532,SARAJANE U. BALISI,e.a.mendozaclinic@gmail.com,e.a.mendozaclinic@gmail.com,5373397,3,4,7,,,PASSED,Acceptable,SDTLPT-24-020055,A
2,02-0898-23-PIBS-R,2,DR. RONALD P. GUZMAN MEDICAL CENTER,"ENRILE AVENUE, CARIG, TUGUEGARAO CITY, CAGAYAN VALLEY (BETWEEN CITY HALL AND CAPITOL)",TUGUEGARAO CITY / CAGAYAN,9360570337,"PAGADDU, JANE G.",rpgmclab02@gmail.com,rpgmclab02@gmail.com,5346783,1,1,2,,,PASSED,Excellent,SDTLPT-24-020056,E
2,02-XXXX-XX-XXXX-X,2,EBC CLINICAL LABORATORY,"91 PANGANIBAN ST., CENTRO EAST, SANTIAGO CITY, ISABELA",SANTIAGO/ISABELA,0922-885-8699/ 0917-578-4257,"NATHANAEL B. VIDAD, MD",ebcclinlab@yahoo.com,ebcclinlab@yahoo.com,5369609,3,3,6,,,PASSED,Acceptable,SDTLPT-24-020057,A
2,02-0834-24-PIBS-R,2,GINCOR MEDICAL LABORATORY ,"DON FRANCISCO ALBANO ST. CENTRO, CABAGAN, ISABELA",CABAGAN/ISABELA,0917-550-7577/ 0917-627-8223,CORAZON  G. ALCANTARA,gincorlab76@gmail.com,gincorlab76@gmail.com,5405600,2,0,2,,,PASSED,Excellent,SDTLPT-24-020058,E
2,02-0830-24-PFSS-R,2,GS TRIMEDICA DRUG TESTING CENTER,"2ND FLOOR PATRIA BLDG. LUNA STREET, CENTRO 7, TUGUEGARAO CITY, CAGAYAN",TUGUEGARAO/CAGAYAN,9178340606,SARA JANE UY BALISI,gstrimedica2@yahoo.com,gstrimedica2@yahoo.com,5419048,4,0,4,,,PASSED,Highly Satisfactory,SDTLPT-24-020059,HS
2,02-0734-22-PIBS-R,2,HIGH CARE CENTRAL DIAGNOSTICS AND MEDICAL CLINIC INC.,"# 86 H & R BUILDING DON JOSE  CANCILLER AVENUE, CAUAYAN CITY, ISABELA",CAUAYAN CITY / ISABELA,09754988567/ (078) 6525304,"BONIFACIO, ANDRES S.",hccdmc@gmail.com,hccdmc@gmail.com,5300321,1,1,2,,,PASSED,Excellent,SDTLPT-24-020060,E
2,02-1224-24-PIBS-R,2,JB CABRERA DIAGNOSTIC LABORATORY,"10 LAKANDULA ST., SAN GABRIEL, TUGUEGARAO CITY, CAGAYAN",TUGUEGARAO/CAGAYAN,0955-422-6693,"SARAJANE U. BALISI, MD",pinkunoh@yahoo.com,pinkunoh@yahoo.com,5368504,3,1,4,,,PASSED,Highly Satisfactory,SDTLPT-24-020061,HS
2,02-XXXX-XX-XXXX-X,2,LABCARE HEALTH CLINIC & DIAGANOSTIC CENTER,"NATASHA BUILDING QUEZON ST., DISTRICT 01, CAUAYAN CITY, ISABELA",CAUAYAN/ISABELA,0954-098-1073,DIWATA GRACE F. BAUSA,rubypearlreyes@yahoo.com,rubypearlreyes@yahoo.com,5396514,2,1,3,,,PASSED,Highly Satisfactory,SDTLPT-24-020062,HS
2,02-XXXX-XX-XXXX-X,2,LASAM MEDICAL AND DIAGNOSTIC CENTER,"KS BUILDING CENTRO 1. LASAM, CAGAYAN",LASAM/CAGAYAN,0917-138-6026,JUANITA T. LACUESTA,lasammdc.21@gmail.com,lasammdc.21@gmail.com,5418063,1,1,2,,,PASSED,Excellent,SDTLPT-24-020063,E
2,02-0832-24-PIBS-R,2,MICRO TECH MEDICAL LABORATORY,"VINTAR ST.,  BRGY. SAN JUAN (NEAR AURORA CENTRAL SCHOOL), AURORA, ISABELA",AURORA/ISABELA,0917-517-6526/ 0918-909-2747,MILA AMOR V. REYES,marybelmed30@yahoo.com,marybelmed30@yahoo.com,5383595,1,5,6,,,PASSED,Acceptable,SDTLPT-24-020064,A
